,country,year,region,happiness_rank,happiness_score,GDP_per_capita,Family,life_expectancy,Freedom,trust_in_government,Generosity,country_code,suicide_rate_100k,mental_disorder_rate_100k,continent
75,Liberia,2015,Sub-Saharan Africa,116,4.571,0.0712,0.78968,0.34201,0.28531,0.06232,0.24362,LBR,16.48090142,15702.14579,Africa
76,Libya,2015,Middle East and Northern Africa,63,5.754,1.13145,1.11862,0.7038,0.41668,0.11023,0.18295,LBY,4.646884467,15958.15552,Africa
77,Lithuania,2015,Central and Eastern Europe,56,5.833,1.14723,1.25745,0.73128,0.21342,0.01031,0.02641,LTU,31.35132427,15807.81158,Europe
78,Luxembourg,2015,Western Europe,17,6.946,1.56391,1.21963,0.91894,0.61583,0.37798,0.28034,LUX,9.40167381,15802.40073,Europe
79,Macedonia,2015,Central and Eastern Europe,93,5.007,0.91851,1.00232,0.73545,0.33457,0.05327,0.22359,MKD,8.409041778,13093.43458,Europe
80,Madagascar,2015,Sub-Saharan Africa,147,3.681,0.20824,0.66801,0.46721,0.19184,0.08124,0.21333,MDG,10.65705226,15915.24594,Africa
81,Malawi,2015,Sub-Saharan Africa,131,4.292,0.01604,0.41134,0.22562,0.43054,0.06977,0.33128,MWI,12.45121478,15578.00005,Africa
82,Malaysia,2015,Southeastern Asia,61,5.77,1.12486,1.07023,0.72394,0.53024,0.10501,0.33075,MYS,8.501323951,13274.22637,Asia
83,Mali,2015,Sub-Saharan Africa,138,3.995,0.26074,1.03526,0.20583,0.38857,0.12352,0.18798,MLI,5.941509265,14419.50895,Africa
84,Malta,2015,Western Europe,37,6.302,1.2074,1.30203,0.88721,0.60365,0.13586,0.51752,MLT,4.706095376,15284.1215,Europe
85,Mauritania,2015,Sub-Saharan Africa,124,4.436,0.45407,0.86908,0.35874,0.24232,0.17461,0.219,MRT,5.558337631,14168.29787,Africa
86,Mauritius,2015,Sub-Saharan Africa,71,5.477,1.00761,0.98521,0.7095,0.56066,0.07521,0.37744,MUS,8.360531984,13416.25348,Africa
87,Mexico,2015,Latin America and Caribbean,14,7.187,1.02054,0.91451,0.81444,0.48181,0.21312,0.14074,MEX,5.824372055,12612.1366,Americas
88,Moldova,2015,Central and Eastern Europe,52,5.889,0.59448,1.01528,0.61826,0.32818,0.01615,0.20951,MDA,14.98166164,15319.45366,Europe
89,Mongolia,2015,Eastern Asia,100,4.874,0.82819,1.3006,0.60268,0.43626,0.02666,0.3323,MNG,19.90690423,14866.58729,Asia
90,Montenegro,2015,Central and Eastern Europe,82,5.192,0.97438,0.90557,0.72521,0.1826,0.14296,0.1614,MNE,10.81906783,13370.69112,Europe
91,Morocco,2015,Middle East and Northern Africa,92,5.013,0.73479,0.64095,0.60954,0.41691,0.08546,0.07172,MAR,5.477786675,17467.50423,Africa
92,Mozambique,2015,Sub-Saharan Africa,94,4.971,0.08308,1.02626,0.09131,0.34037,0.15603,0.22269,MOZ,12.48758908,16036.05706,Africa
93,Myanmar,2015,Southeastern Asia,129,4.307,0.27108,0.70905,0.48246,0.44017,0.19034,0.79588,MMR,6.017308812,12345.57559,Asia
94,Nepal,2015,Southern Asia,121,4.514,0.35997,0.86449,0.56874,0.38282,0.05907,0.32296,NPL,11.3604564,14965.39464,Asia
95,Netherlands,2015,Western Europe,7,7.378,1.32944,1.28017,0.89284,0.61576,0.31814,0.4761,NLD,9.290973802,16699.99787,Europe
96,New Zealand,2015,Australia and New Zealand,9,7.286,1.25018,1.31967,0.90837,0.63938,0.42922,0.47501,NZL,11.10582105,18954.56047,Oceania
97,Nicaragua,2015,Latin America and Caribbean,57,5.828,0.59325,1.14184,0.74314,0.55475,0.19317,0.27815,NIC,7.376829707,13122.38608,Americas
98,Niger,2015,Sub-Saharan Africa,144,3.845,0.0694,0.77265,0.29707,0.47692,0.15639,0.19387,NER,7.872254987,15448.98099,Africa
99,Nigeria,2015,Sub-Saharan Africa,78,5.268,0.65435,0.90432,0.16007,0.34334,0.0403,0.27233,NGA,7.035309241,14974.71073,Africa
100,Norway,2015,Western Europe,4,7.522,1.459,1.33095,0.88521,0.66973,0.36503,0.34699,NOR,9.791838807,16362.40626,Europe
101,Oman,2015,Middle East and Northern Africa,22,6.853,1.36011,1.08182,0.76276,0.63274,0.32524,0.21542,OMN,3.114664536,15380.04214,Asia
102,Pakistan,2015,Southern Asia,81,5.194,0.59543,0.41411,0.51466,0.12102,0.10464,0.33671,PAK,3.871488469,14797.28607,Asia
103,Panama,2015,Latin America and Caribbean,25,6.786,1.06353,1.1985,0.79661,0.5421,0.0927,0.24434,PAN,5.913380065,12445.20481,Americas
104,Paraguay,2015,Latin America and Caribbean,53,5.878,0.75985,1.30477,0.66098,0.53899,0.08242,0.3424,PRY,6.613453754,16574.08788,Americas
105,Peru,2015,Latin America and Caribbean,58,5.824,0.90019,0.97459,0.73017,0.41496,0.05989,0.14982,PER,3.087210525,13655.05992,Americas
106,Philippines,2015,Southeastern Asia,90,5.073,0.70532,1.03516,0.58114,0.62545,0.12279,0.24991,PHL,6.417608391,12765.98314,Asia
107,Poland,2015,Central and Eastern Europe,60,5.791,1.12555,1.27948,0.77903,0.53122,0.04212,0.16759,POL,14.72491759,13291.64042,Europe
108,Portugal,2015,Western Europe,88,5.102,1.15991,1.13935,0.87519,0.51469,0.01078,0.13719,PRT,9.74045116,16432.95748,Europe
109,Qatar,2015,Middle East and Northern Africa,28,6.611,1.69042,1.0786,0.79733,0.6404,0.52208,0.32573,QAT,4.809132649,15327.23833,Asia
110,Romania,2015,Central and Eastern Europe,86,5.124,1.04345,0.88588,0.7689,0.35068,0.00649,0.13748,ROU,10.0877062,12847.62694,Europe
111,Russia,2015,Central and Eastern Europe,64,5.716,1.13764,1.23617,0.66926,0.36679,0.03005,0.00199,RUS,30.47662159,16481.46171,Europe
112,Rwanda,2015,Sub-Saharan Africa,154,3.465,0.22208,0.7737,0.42864,0.59201,0.55191,0.22628,RWA,11.58379364,16518.06816,Africa
113,Saudi Arabia,2015,Middle East and Northern Africa,35,6.411,1.39541,1.08393,0.72025,0.31048,0.32524,0.13706,SAU,3.134551293,15023.96842,Asia
114,Senegal,2015,Sub-Saharan Africa,142,3.904,0.36498,0.97619,0.4354,0.36772,0.10713,0.20843,SEN,13.6700572,14572.7135,Africa
115,Serbia,2015,Central and Eastern Europe,87,5.123,0.92053,1.00964,0.74836,0.20107,0.02617,0.19231,SRB,15.19866966,13320.52252,Europe
116,Sierra Leone,2015,Sub-Saharan Africa,123,4.507,0.33024,0.95571,0,0.4084,0.08786,0.21488,SLE,9.705776041,15151.91255,Africa
117,Singapore,2015,Southeastern Asia,24,6.798,1.52186,1.02,1.02525,0.54252,0.4921,0.31105,SGP,8.341762843,12866.22361,Asia
